,From,To,CodeTo,Hour,Date,Price,Id
0,Madrid,Barcelona,barcelona,19:40:00,2018-08-11,71,3647080075271475_0
1,Madrid,Londres,london,11:05:00,2018-08-11,71,3689961352649343_0
2,Madrid,París,paris,07:00:00,2018-08-11,81,3843892811347889_0
3,Madrid,Berlín,berlin,20:00:00,2018-08-11,108,3611896068075470_0
0,Gerona,París,paris,12:50:00,2018-08-13,48,3644881129389605_0
1,Gerona,Londres,london,16:05:00,2018-08-13,67,3597602129742804_0
2,Barcelona,Berlín,berlin,10:25:00,2018-08-13,87,3614094803817203_0
3,París,Londres,london,19:15:00,2018-08-13,53,3611896173998084_0
4,París,Barcelona,barcelona,08:45:00,2018-08-13,61,3631686989746531_0
5,París,Gerona,barcelona,21:20:00,2018-08-13,77,3649279175918198_0
6,París,Berlín,berlin,07:15:00,2018-08-13,80,3554721363825410_0
7,Londres,Barcelona,barcelona,21:50:00,2018-08-13,53,3597602130141089_0
8,Londres,París,paris,21:25:00,2018-08-13,64,3610796633020303_0
9,Londres,Gerona,barcelona,18:40:00,2018-08-13,64,3608597246288435_0
10,Londres,Berlín,berlin,08:40:00,2018-08-13,75,3652577711510101_0
11,Berlín,Londres,london,22:25:00,2018-08-13,39,3596502617905973_0
12,Berlín,París,paris,20:20:00,2018-08-13,69,3598701575886718_0
13,Berlín,Barcelona,barcelona,20:15:00,2018-08-13,87,3614094804745721_0
14,Gerona,París,paris,07:20:00,2018-08-15,48,4037406823183466_0
15,Gerona,Berlín,berlin,20:45:00,2018-08-15,59,3951645037600721_0
16,Gerona,Londres,london,17:25:00,2018-08-15,67,3597602129742831_0
17,París,Barcelona,barcelona,08:45:00,2018-08-15,38,3631686989746615_0
18,París,Londres,london,06:10:00,2018-08-15,47,3597602530702987_0
19,París,Gerona,barcelona,09:20:00,2018-08-15,48,3950545555289244_0
20,París,Berlín,berlin,16:30:00,2018-08-15,57,3576711399579534_0
21,Londres,París,paris,21:25:00,2018-08-15,64,3614095130295288_0
22,Londres,Gerona,barcelona,15:50:00,2018-08-15,64,3604199200218447_0
23,Londres,Barcelona,barcelona,22:45:00,2018-08-15,70,3764727858764936_0
24,Londres,Berlín,berlin,08:40:00,2018-08-15,75,3652577711510162_0
25,Berlín,Londres,london,22:25:00,2018-08-15,16,3596502617906052_0
26,Berlín,Gerona,barcelona,17:10:00,2018-08-15,37,3910963095277355_0
27,Berlín,París,paris,19:20:00,2018-08-15,57,3552522784567966_0
28,Berlín,Barcelona,barcelona,21:40:00,2018-08-15,66,3614094804745756_0
0,Barcelona,Madrid,madrid,06:25:00,2018-08-17,59,3798812687098612_0
1,París,Madrid,madrid,10:50:00,2018-08-17,32,3766927139542213_0
2,Londres,Madrid,madrid,10:00:00,2018-08-17,57,3844992225206050_0
3,Berlín,Madrid,madrid,10:50:00,2018-08-17,77,3777922249712125_0
